                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11554                   "gfortran"                      "8.3.0" "x86_64-osx-10.12-10.14-2019                   "20190422"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                             star_age_day                                rsp_phase                                rsp_GREKM                        rsp_GREKM_avg_abs                               rsp_DeltaR                             rsp_DeltaMag                       rsp_period_in_days                          rsp_num_periods                               log_dt_sec                                   radius                                    log_R                              v_surf_km_s                      v_surf_div_escape_v                        v_div_csound_surf                         v_div_csound_max                         max_abs_v_div_cs                     dt_div_min_dr_div_cs                               luminosity                                    log_L                              effective_T                                    log_g                                 log_Teff                            photosphere_L                            photosphere_r                            photosphere_T                       photosphere_v_km_s                     photosphere_v_div_cs                              num_retries 
                                      90                  9.1515134562922273E-004                  3.3426485443780596E-001                  1.1777295499774003E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4717772631525953E+001                  1.5405518546131201E+000                  8.6835667936616859E-002                  4.0589015665172431E-004                  1.1766998895871463E-002                  1.1766998895873029E-002                  1.1766998895873029E-002                  1.9517649270751356E+000                  1.4387048409302022E+003                  3.1579717049140457E+000                  6.0464679555746716E+003                  1.9764999103909746E+000                  3.7815017555873029E+000                  1.4387089069985132E+003                  3.4483512395407686E+001                  6.0464679344522456E+003                  7.9237745856754249E-002                  1.0149656990051121E-002                                        0 
                                     100                  1.0446591976436884E-003                  3.8156842177551648E-001                  1.3443962166440662E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4718268533193829E+001                  1.5405580579436762E+000                  8.1839709384254070E-002                  3.8254061366617816E-004                  1.1090072704357756E-002                  1.1090072704354333E-002                  1.1090072704354333E-002                  1.9518644243760843E+000                  1.4386577449902261E+003                  3.1579574880705006E+000                  6.0463879808984157E+003                  1.9764999103909746E+000                  3.7814960112766496E+000                  1.4386617856709613E+003                  3.4483952788473040E+001                  6.0463879597650575E+003                  7.4911312202285446E-002                  9.5956277396604690E-003                                        0 
                                     110                  1.1741670496581552E-003                  4.2887198911322733E-001                  1.5110628833107337E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4718731654914727E+001                  1.5405638511434772E+000                  7.5757205935922320E-002                  3.5411173323328322E-004                  1.0265894060200132E-002                  1.0265894060196975E-002                  1.0265894060196975E-002                  1.9519742215507123E+000                  1.4386023533861664E+003                  3.1579407664206198E+000                  6.0463018142349638E+003                  1.9764999103909746E+000                  3.7814898221314563E+000                  1.4386048340450823E+003                  3.4484365929172377E+001                  6.0463017930942879E+003                  7.0245863911670300E-002                  8.9981635835651632E-003                                        0 
                                     120                  1.3036749016726223E-003                  4.7617555645093829E-001                  1.6777295499774011E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4719157273794949E+001                  1.5405691751512756E+000                  6.9159041204672964E-002                  3.2327192851207997E-004                  9.3718265459172331E-003                  9.3718265459178437E-003                  9.3718265459178437E-003                  1.9520820620967656E+000                  1.4385280856786335E+003                  3.1579183454311965E+000                  6.0461987525192344E+003                  1.9764999103909746E+000                  3.7814824193392562E+000                  1.4385292270021223E+003                  3.4484750362877314E+001                  6.0461987313763602E+003                  6.4810917178922914E-002                  8.3021020326402208E-003                                        0 
                                     130                  1.4331827536870892E-003                  5.2347912378864925E-001                  1.8443962166440686E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4719543766730844E+001                  1.5405740096814968E+000                  6.2479513216910351E-002                  2.9205126038673798E-004                  8.4667142940790304E-003                  8.5059060617057591E-003                  8.5171912153591857E-003                  1.9523967589812186E+000                  1.4384636736384948E+003                  3.1578988988731629E+000                  6.0461099836729809E+003                  1.9764999103909746E+000                  3.7814760430845746E+000                  1.4384672789034646E+003                  3.4485100957647902E+001                  6.0461099625295028E+003                  5.8781692632052220E-002                  7.5298713157159773E-003                                        0 
                                     140                  1.5626906057015560E-003                  5.7078269112636004E-001                  2.0110628833107361E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4719891175525667E+001                  1.5405783552733838E+000                  5.5841628161268315E-002                  2.6102475259245152E-004                  7.5672339929795844E-003                  7.5672339929762286E-003                  7.5672339929762286E-003                  1.9526118184850019E+000                  1.4384050629670405E+003                  3.1578812030423640E+000                  6.0460296790175080E+003                  1.9764999103909746E+000                  3.7814702747309639E+000                  1.4384083467833784E+003                  3.4485416314308722E+001                  6.0460296578727339E+003                  5.2748017901329970E-002                  6.7570621973201779E-003                                        0 
                                     150                  1.6921984577160229E-003                  6.1808625846407106E-001                  2.1777295499774033E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4720199406428158E+001                  1.5405822107689333E+000                  4.9097636654766436E-002                  2.2950182093838407E-004                  6.6533729362492954E-003                  6.6533729362497386E-003                  6.6533729362497386E-003                  1.9527443036486472E+000                  1.4383318421431688E+003                  3.1578590950771077E+000                  6.0459371254133312E+003                  1.9764999103909746E+000                  3.7814636264296202E+000                  1.4383324996822178E+003                  3.4485695076988932E+001                  6.0459371042661660E+003                  4.6448258164121216E-002                  5.9501518944969434E-003                                        0 
                                     160                  1.8217063097304897E-003                  6.6538982580178196E-001                  2.3443962166440707E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4720467121476048E+001                  1.5405855594455471E+000                  4.2009706718176276E-002                  1.9637078311846975E-004                  5.6928988606446910E-003                  5.6928988606417784E-003                  5.6928988606417784E-003                  1.9529213048016860E+000                  1.4382434563056688E+003                  3.1578324067567722E+000                  6.0458319075972322E+003                  1.9764999103909746E+000                  3.7814560683102409E+000                  1.4382411217302683E+003                  3.4485936017095270E+001                  6.0458318864472767E+003                  3.9722513326092182E-002                  5.0886398147898691E-003                                        0 
                                     170                  1.9512141617449566E-003                  7.1269339313949287E-001                  2.5110628833107385E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4720691961513168E+001                  1.5405883718060758E+000                  3.4503808628869898E-002                  1.6128562631228602E-004                  4.6757726046198515E-003                  4.6757726046201559E-003                  4.6757726046201559E-003                  1.9531826232168017E+000                  1.4381499672453065E+003                  3.1578041757208402E+000                  6.0457242947121304E+003                  1.9764999103909746E+000                  3.7814483380096244E+000                  1.4381458674435944E+003                  3.4486137458919096E+001                  6.0457242735604041E+003                  3.2561053963117079E-002                  4.1712741589611359E-003                                        0 
                                     180                  2.0807220137594234E-003                  7.5999696047720366E-001                  2.6777295499774056E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4720871706646555E+001                  1.5405906200941457E+000                  2.6663003842800955E-002                  1.2463465849910828E-004                  3.6132479185265551E-003                  3.6132479185256874E-003                  3.6132479185256874E-003                  1.9534839229027281E+000                  1.4380592750508199E+003                  3.1577767875050933E+000                  6.0456228974752466E+003                  1.9764999103909746E+000                  3.7814410540800902E+000                  1.4380549503497889E+003                  3.4486297143988864E+001                  6.0456228763224772E+003                  2.5053751683754150E-002                  3.2095745670215879E-003                                        0 
                                     190                  2.2102298657738903E-003                  8.0730052781491457E-001                  2.8443962166440734E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4721004478680335E+001                  1.5405922808258192E+000                  1.8500215718108649E-002                  8.6478346190313200E-005                  2.5070768547507320E-003                  2.5070768547500425E-003                  2.5070768547500425E-003                  1.9537712840754120E+000                  1.4379736866796354E+003                  3.1577509390132117E+000                  6.0455307318714076E+003                  1.9764999103909746E+000                  3.7814344332043004E+000                  1.4379701517897104E+003                  3.4486412744893407E+001                  6.0455307107172966E+003                  1.7298271471345755E-002                  2.2160597334574175E-003                                        0 
                                     200                  2.3397377177883571E-003                  8.5460409515262559E-001                  3.0110628833107406E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4721088321624407E+001                  1.5405933295421377E+000                  1.0005622106522498E-002                  4.6770843663170257E-005                  1.3559288491220966E-003                  1.3559288491223232E-003                  1.3559288491223232E-003                  1.9540339286846402E+000                  1.4378930098441738E+003                  3.1577265724425985E+000                  6.0454477856166450E+003                  1.9764999103909746E+000                  3.7814284745301223E+000                  1.4378909082112050E+003                  3.4486482388992890E+001                  6.0454477644611561E+003                  9.3432052218925601E-003                  1.1969570405861889E-003                                        0 
                                     210                  2.4692455698028240E-003                  9.0190766249033638E-001                  3.1777295499774078E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4721121592573390E+001                  1.5405937456979475E+000                  1.3132058189221061E-003                  6.1385262033420565E-006                  1.7796200745069966E-004                  5.1804963736445258E-004                  5.1299069611032905E-004                  1.9542395554789511E+000                  1.4378130486118284E+003                  3.1577024206542883E+000                  6.0453690977491597E+003                  1.9764999103909746E+000                  3.7814228216934329E+000                  1.4378105358402238E+003                  3.4486505726297864E+001                  6.0453690765936944E+003                  1.4449715315944260E-003                  1.8511691314749507E-004                                        0 
                                     220                  2.5987534218172908E-003                  9.4921122982804729E-001                  3.3443962166440755E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4721103874230636E+001                  1.5405935240754856E+000                 -7.3154463025128773E-003                 -3.4195741986655392E-005                 -9.9137242398196078E-004                  9.9137242398152038E-004                  9.9137242398152038E-004                  1.9544423044065602E+000                  1.4377284467182328E+003                  3.1576768657209882E+000                  6.0452888574717454E+003                  1.9764999103909746E+000                  3.7814170572578103E+000                  1.4377248774604727E+003                  3.4486483030801367E+001                  6.0452888363185757E+003                 -6.5571319258377466E-003                 -8.4004854697683278E-004                                        0 
                                     230                  2.7282612738317581E-003                  9.9651479716575830E-001                  3.5110628833107427E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4721036217863308E+001                  1.5405926778231391E+000                 -1.5675858329514156E-002                 -7.3276060328531539E-005                 -2.1243625643941923E-003                  2.1243625643951958E-003                  2.1243625643951958E-003                  1.9547016972595135E+000                  1.4376457576252199E+003                  3.1576518871169754E+000                  6.0452136928097734E+003                  1.9764999103909746E+000                  3.7814116573833565E+000                  1.4376415120347294E+003                  3.4486414406555113E+001                  6.0452136716599871E+003                 -1.4604954480948475E-002                 -1.8710842271725864E-003                                        0 
